"Clinic Name",Address,"Address 2",City,State,Zip,Phone
"Texas Fertility, P.A.","4323 North Josey Lane","Plaza I Suite 201",Carrollton,TX,75010,972-394-9590
"Sher Institute for Reproductive Medicine-Dallas","7777 Forest Lane, Suite C-638",,Dallas,TX,75230,972-566-6686
"The Texas Center for Reproductive Health","3600 Gaston Avenue, Suite 504",,Dallas,TX,75246,214-821-2274
"Repromed Fertility Center","3800 San Jacinto Street",,Dallas,TX,75204,214-827-8777
IVFMD,"7501 Las Colinas Boulevard",,Irving,TX,75063,972-506-9986
"The Women's Place","950 Scotland Drive",,DeSoto,TX,75115,972-709-9777
"Center for Assisted Reproduction","1701 Park Place Avenue",,Bedford,TX,76022,817-540-1157
"Fort Worth Fertility","1800 Mistletoe Blvd",,"Fort Worth",TX,76104,817-348-8145
"North Houston Center for Reproductive Medicine","530 Wells Fargo Dr., Suite 116",,"Houston ",TX,77090,281-444-4784
"University Fertility Center- UTMB","1804 FM 646 West, Suite N",,Dickinson,TX,77539,409-772-3985
"Houston Fertility Institute","13215 Dotson","Suite 100","Houston ",TX,77070,832-237-1434
"The Women's Specialists of Houston","St Luke's Medical Tower","6624 Fannin, Suite 1800","Houston ",TX,77030,713-425-3783
"Houston Fertility Specialists","7900 Fannin Street","Houston Medical Center",Houston,TX,77054,713-512-7900
"Houston Fertility Center","9055 Katy Freeway, Suite 450",,"Houston ",TX,77024,713-862-6181
"Houston IVF","929 Gessner Road","Suite 2300",Houston,TX,77024,713-465-1211
"Cooper Institute for Advanced Reproductive Medicine","7500 Beechnut, Suite 308",,"Houston ",TX,77074,713-771-9771
"The Advanced Fertility Center of Texas","11301 Fallbrook Drive","Ste 202","Houston ",TX,77065,713-467-4488
"Texas Fertility Center","6500 N MoPac","Building 1, Suite 1200",Austin,TX,78731,512-451-0149
"Austin Fertility Center","805 East 32nd Street",,Austin,TX,78705,
"Reproductive Medicine Associates of Texas","19296 Stone Oak Parkway",,"San Antonio",TX,78258,210.337.8453
"Advanced Fertility Center-Institute for Women's Health","502 Madison Oak Drive, Suite 220",,"San Antonio",TX,78258,210-616-0680
"Fertility Concepts","4499 Medical Drive, Suite 380",,"San Antonio",TX,78229,210-614-3303
"UT Medicine Fertility Center","8300 Floyd Curl Drive",,"San Antonio",TX,78229,210-567-4930
"Fertility Center of San Antonio","4499 Medical Drive","Suite 200","San Antonio",TX,78229,
"Wilford Hall Medical Center","59th MDW/MMNO","2200 Bergquist Drive, Suite 1","Lackland AFB",TX,78236,210-292-4016
"Centre for Reproductive Medicine","3405 22nd Street, Suite 300",,Lubbock,TX,79410,806-788-1212
"Rocky Mountain Center for Reproductive. Med.","1080 East Elizabeth",,"Fort Collins",CO,80524,970-493-6353
"Advanced Reproductive Medicine- University of Colorado","Stapleton Clinic","3055 Roslyn St.",Denver,CO,80238,"(720) 325-5931"
"Colorado Reproductive Endocrinology","4600 E Hale Parkway, Suite350",,Denver,CO,80220,303-321-7115
"Colorado Center for Reproductive Medicine","10290 RidgeGate Circle",,"Lone Tree",CO,80124,303-788-8300
"Center for Reproductive Medicine of New Mexico","201 Cedar Street","Suite S1-20",Albuquerque,NM,87106,"(505) 247-3333"
"Southwest Center for Reproductive Health","799 South Mesa Hills",,"El Paso",TX,79912,915-842-9998
"New York Fertility Services","16 East 40th Street","2nd Floor","New York",NY,10016,"212-679-2289 "
"Reproductive Care Center","10150 South Petunia Way",,Sandy,UT,84092,801-878-8888
"Reproductive Health Center","4518 E. Camp Lowell Drive",,Tucson,AZ,85712,
"Arizona Center for Reproductive Endocrinology and Infertility","5190 East Farness","Suite 114",Tucson,AZ,85712,520-326-0001
"Arizona Associates for Reproductive Health","8573 East Princess Drive","Suite 101",Scottsdale,AZ,85255,480-946-9900
"Arizona Center for Fertility Studies","8997 E. Desert Cove Ave.","2nd Floor",Scottsdale,AZ,85260,480-630-0212
"Advanced Fertility Care, PLLC","9819 North 95th Street","Suite 105",Scottsdale,AZ,85258,480-874-2229
"Southwest Fertility Center","3125 N 32nd Street",#200,Phoenix,AZ,85018,
"Fertility Treatment Center","2155 East Conference Drive","Suite 115",Tempe,AZ,85284,480-831-2445
"Arizona Reproductive Medicine Specialists","1701 East Thomas Road","Suite 101",Phoenix,AZ,85016,602-343-2767
"Idaho Center for Reproductive Medicine","111 Main Street","Suite 100",Boise,ID,83702,208-342-5900
"West Valley Fertility Center","17612 North 59th Avenue","Suite 100",Glendale,AZ,85308,602-993-8636
"The Center for Reproductive Health","508 W. 6th Ave","Box 7, Ste. 500",Spokane,WA,99204,509-462-7070
"Nevada Fertility CARES","653 Town Center Drive","Suite 206","Las Vegas",NV,89144,702-341-6616
"Fertility Center of Las Vegas","8851 W. Sahara Avenue, Suite 100",,"Las Vegas",NV,89117,702-254-1777
"Seattle Reproductive Medicine","12333 NE 130th Lane","Suite 220",Kirkland,WA,98034,"(888) 599-5090"
"Eastside Fertility Laboratory","1370 116th Avenue NE","Ste. 100/202",Bellevue,WA,98004,425-462-6100
"Overlake Reproductive Health, Inc.","1135 116th Avenue Northeast","Suite 640",Bellevue,WA,98004,425-646-4700
"Pacific NW Fertility and IVF Specialists","1101 Madison Street","Suite 1050",Seattle,WA,98104,206-515-0000
"Seattle Reproductive Medicine","1505 Westlake Avenue North","Suite 400",Seattle,WA,98109,877-777-6002
"Nevada Center for Reproductive Medicine","645 Sierra Rose Drive","Suite 205",Reno,NV,89511,775-828-1200
"Madigan Army Medical Center","Department of Ob/Gyn","9040 A Fitzsimons Drive",Tacoma,WA,98431,253-968-2781
"Loma Linda University","11370 Anderson St",#3950,"Loma Linda",CA,92354,909-558-2851
"GYFT Clinic","502 South M Street","Suite 200",Tacoma,WA,98405,253-475-5433
"Olympia Women's Health","403 Black Hills Lane SW","Suite E",Olympia,WA,98502,360-786-1515
"San Diego Fertility Center","11515 El Camino Real",#100,"San Diego",CA,92130,858-794-6363
"Fertility Specialists Medical Group","8010 Frost Street","Plaza Level","San Diego",CA,92123,858-505-5500
"IGO Medical Group of San Diego","9339 Genesee Ave",#220,"San Diego",CA,92121,858-455-7520
"Oregon Reproductive Medicine","2222 NW Lovejoy",#304,Portland,OR,97210,503-274-4994
"Northwest Fertility Center","1750 SW Harbor Way",#200,Portland,OR,97201,503-227-7799
"OHSU Fertility","3303 SW Bond Avenue","10th Floor",Portland,OR,97239,503-418-4500
"Reproductive Sciences Center","4150 Regents Park Row","Suite 280","La Jolla",CA,92037,877-596-5105
"Scripps Clinic IVF Center","10666 N. Torrey Pines Road",,"La Jolla",CA,92037,858-554-8630
"Reproductive Partners Medical Group -UCSD","9850 Genesee Avenue","Suite 800","La Jolla",CA,92037,858-552-9177
"HRC Fertility ","23961 Calle de la Magdalena","Suite 503","Laguna Hills",CA,92653,"866-472-4483 Toll Free, 9"
"Fertility Center of Southern California","2192 Martin Street","Suite 110",Irvine,CA,92612,949-955-0072
"Coastal Fertility Medical Center","15500 Sand Canyon Ave, Ste. 100",,Irvine,CA,92618,949-726-0600
"Garfield Fertility Center","320 South Garfield Avenue","Suite 226",Alhambra,CA,91801,626-943-9536
"Newport Fertility Center","20072 SW Birch Street","Suite 230","Newport Beach",CA,92660,949-222-1290
"Reproductive Specialty Medical Center","1441 Avocado Avenue",#203,"Newport Beach",CA,92660,949-640-7200
"West Coast Fertility Centers","11160 Warner Avenue",#411,"Fountain Valley",CA,92708,714-513-1399
"Reproductive Partners-Westminster","13950 Milton Ave","Suite 100",Westminster,CA,92683,714-702-3000
"Southern California Center for Reproductive Medicine: Newport Beach, California","361 Hospital Road","Suite 333","Newport Beach",CA,92663,949-642-8727
"West Coast IVF Clinic, Inc.","9730 Wilshire Boulevard","Suite 211","Beverly Hills",CA,90202,310-285-2049
"USC Fertility","1127 Wilshire Blvd","Suite 1400","Los Angeles",CA,90017,213-975-9990
"Central California IVF-Women's Specialty & Fertility Center","722 East Medical Center Drive","Suite 105",Clovis,CA,93611,559-299-7700
"CHA Fertility Center","5455 Wilshire Boulevard","Suite 1904","Los Angeles",CA,90036,323-525-3377
"Cedars-Sinai Medical Center","8700 Beverly Blvd","Suite 3611","Los Angeles",CA,90048,310-423-9964
"UCLA Fertility Center","200 Medical Plaza","Suite 430","Los Angeles",CA,90095,310-825-9500
"Center for Reproductive Health & Gynecology - Beverly Hills","99 North La Cienega Boulevard","Suite 109","Beverly Hills",CA,90211,310-360-7584
"The Valley Center for Reproductive Health","13320 Riverside Drive",#220,"Sherman Oaks",CA,91423,818-986-1648
"Southern California Reproductive Center","450 N. Roxbury Dr.","Suite 500","Beverly Hills",CA,90210,310-277-2393
"The Fertility Institutes-California, Nevada","16030 Ventura Boulevard","Suite 404",Encino,CA,91436,818-728-4600
"Pacific Fertility Center-Los Angeles","10921 Wilshire Boulevard","Suite 700","Los Angeles",CA,90024,310-209-7700
"California Fertility Partners","11818 Wilshire Boulevard","Suite 300","Los Angeles",CA,90025,310-828-4008
"Tree of Life Center","18370 Burbank Boulevard","Suite 514",Tarzana,CA,91356,818-344-8522
"Center for Fertility and Gynecology","18370 Burbank Boulevard",#301,Tarzana,CA,91356,818-881-9800
"Pacific Reproductive Center","3720 Lomita Boulevard","Suite 200",Torrance,CA,90505,866-423-2645
"Reproductive Partners Medical Group-Redondo Beach","510 North Prosect","Suite 202","Redondo Beach",CA,90277,310-318-3010
"Parker,Rosenman, Rodi Gyn Inf Med Grp","1450 Tenth Street",#404,"Santa Monica",CA,90401,310-451-8144
"Fertility & Surgical Associates of California","325 Rolling Oaks Drive","Suite 110","Thousand Oaks",CA,91361,805-778-1122
"Northern California Fertility Medical Center","1130 Conroy Lane","Suite 100",Roseville,CA,95661,916-773-2229
"Kaiser Permanente Center for Reproductive Health Sacramento","1650 Response Road","Suite 1A",Sacramento,CA,95815,916-614-5200
"UC Davis ART Program","2521 Stockton Boulevard","Suite 4200",Sacramento,CA,95817,916-734-6106
"Alex Steinleitner, M.D., Inc","35 Casa Street","Suite 260","San Luis Obispo",CA,93405,805-543-2228
"Reproductive Science Center","3160 Crow Canyon Rd","Ste 150","San Ramon",CA,94583,
"The Kaiser Permanente Center for Reproductive Health","39141 Civic Center Drive","Suite 350",Fremont,CA,94538,510-248-6900
"Fertility Physicians of Northern California","2581 Samaritan Drive","Suite 302","San Jose",CA,95124,
"Alta Bates IVF Program","2999 Regent Street",#101-A,Berkeley,CA,94705,510-649-0440
"NOVA In Vitro Fertilization","2500 Hospital Drive","Building 7","Mountain View",CA,94040,650-325-6682
"Stanford Medicine Fertility and Reproductive Health","900 Welch Road","Suite 350","Palo Alto",CA,94304,650-498-7911
"Advanced Fertility Associates Medical Group Inc","1111 Sonoma Avenue","Suite 214","Santa Rosa",CA,95405,707-575-5831
"Pacific Fertility Center","55 Francisco Street","Suite 500","San Francisco",CA,94133,888-834-3095
"Palo Alto Medical Foundation Fertility Physicians of Northern California ","795 El Camino Real",,"Palo Alto",CA,94301,650-853-2200
"Laurel Fertility Care","1700 California Street","Suite 570","San Francisco",CA,94109,415-673-9199
"UCSF Center for Reproductive Health","2356 Sutter Street","7th Floor","San Francisco",CA,94115,"(415) 353-7475 "
"Fertility and Gynecology Center","9833 Blue Larkspur Lane",,Monterey,CA,93940,831-649-4483
"Zouves Fertility Center","1241 E. Hillsdale Blvd.","Suite 100","Foster City",CA,94404,800-800-1160
"Hawaii Center for Reproductive Medicine & Surgery","642 Ulukahiki Street","Suite 300",Kailua,HI,96734,808-261-4166
"Pacific IVF Institute","1319 Punahou Street",#980,Honolulu,HI,96826,808-946-2226
"Advanced Reproductive Center of Hawaii","1319 Punahou Street","Suite 510",Honolulu,HI,96826,808-949-6611
"Tripler Army Medical Center","1 Jarrett White Road",,Honolulu,HI,96859,808-433-6845
"Michigan Center for Fertility and Women's Health PLC","4700 13 Mile Road",,Warren,MI,48092,586-576-0431
"Southeastern Fertility Center","11126 Kingston Pike",,Knoxville,TN,37934,865-777-0088
"The Fertility Center of Colorado","6160 Tutt Boulevard","Suite 210","Colorado Springs",CO,80923,719-636-0080
"Sher Institutes for Reproductive Medicine - Central Illinois","5401 North Knoxville","Suite 110",Peoria,IL,61614,309-689-0411
"Sher Institutes for Reproductive Medicine - Greater Lehigh Valley","201 Strykers Rd.","Suite 4",Phillipsburg,NJ,8865,888-591-2229
"SHER Institutes for Reproductive Medicine - Las Vegas","5320 S. Rainbow Blvd.","Suite 300","Las Vegas",NV,89118,702-892-9696
"Sher Institutes for Reproductive Medicine -  Los Angeles (Glendale)","1520 E. Chevy Chase Dr.","Suite 101",Glendale,CA,91206,818-291-1985
"Sher Institutes for Reproductive Medicine -  Los Angeles (Inland Empire)","2140 Grand Ave. ","Suite 230 ","Chino Hills",CA,91709,909-548-0810
"Sher Institutes for Reproductive Medicine -  New York","425 Fifth Avenue",,"New York",NY,10016,646-792-7476
"Sher Institutes for Reproductive Medicine -  Westchester","3020 Westchester Ave.","Suite 304",Purchase,NY,10577,914-696-7476
"Sher Institutes for Reproductive Medicine -  Sacramento","2288 Auburn Blvd.","Suite 204",Sacramento,CA,95821,"916- 568-2125"
"Sher Institutes for Reproductive Medicine -  Pleasanton","5720 Stoneridge Mall Rd.","Corner of Laurel Creek Way and F",Pleasanton,CA,94588,925-251-0592
"SHER Institutes for Reproductive Medicine -  St. Louis","456 N. New Ballas Rd.","Suite 101","Creve Coeur",MO,63141,314-983-9000
"Shady Grove Fertility Center ","200 Medical Parkway","Suite 308",Annapolis,MD,21401,"410-244-5500, 1-888-761-1"
"Shady Grove Fertility Center ","201 Plumtree Road","Suite 201","Bel Air",MD,21015,"410-569-0545, 1-888-761-1"
"Shady Grove Fertility Center ","10630 Little Patuxent Parkway","Century Plaza Building 1000",Columbia,MD,21044,"410-997-6999, 1-888-761-1"
"Shady Grove Fertility Center ","10845 Town Center Boulevard",,Dunkirk,MD,20754,"1-888-761-1967, 410224550"
"Shady Grove Fertility Center ","145 East Carroll Street","Suites 101-102",Salisbury,MD,21801,"1-888-761-1967, 410219116"
"Shady Grove Fertility Center ","3299 Woodburn Road","Suite 480 ",Annandale,VA,22003,"1-888-761-1967, 703-876-0"
"Shady Grove Fertility Center","45 Thomas Jefferson Drive","Patriot Medical Center, St. 107",Frederick,MD,21702,301-631-1180
"Shady Grove Fertility Center","19500 Sandridge Way","Suite 280",Leesburg,VA,20176,"703-723-1757, 1-888-761-1"
"Shady Grove Fertility Center ","5215 Loughboro Rd NW","Suite 410",Washington,DC,20016,"202-677-4720, 1-888-761-1"
"Shady Grove Fertility Center ","3010 Crain Highway","Suite 201",Waldorf,MD,20601,"301-705-9923, 1-888-761-1"
"Shady Grove Fertility Center ","2021 K Street, NW","Suite 701",Washington,DC,20006,"202-296-2595, 1-888-761-1"
"Shady Grove Fertility Center ","4001 Prince William Parkway","Suite 301",Woodbridge,VA,22192,"703-680-1770, 1-888-761-1"
"Reproductive Gynecology, Inc. - Canton","2600 West Tuscarawas","Suite 560",Canton,OH,44708,866-537-2458
"IVF Michigan - Ann Arbor/Ypsilanti","3145 Clark Rd.","Suite 301","Ann Arbor",MI,48197,734-434-4766
"IVF Michigan - Flint","2 Hurley Plaza","Suite 209",Flint,MI,48503,810-257-9714
"IVF Michigan - Brighton","2300 Genoa Business Park","Suite 180",Brighton,MI,48114,810-225-3390
"IVF Michigan - Dearborn","5728 Schaefer Rd.","Suite 203",Dearborn,MI,48126,313-582-4333
"IVF Michigan - Saginaw","5400 Mackinaw Road","Suite 4100",Saginaw,MI,48604,
"IVF Michigan - Toledo","6711 Monroe Street","Bldg. 3, Suite A",Toledo,OH,43560,419-885-8080
"Reproductive Biology Associates ","1267 Highway 54 West","Suite 3200",Fayetteville,GA,30214,678-366-2154.
"Reproductive Biology Associates","1800 Northside Forsyth Drive","Suite 300",Cumming,GA,30060,678-366-2154
"Reproductive Biology Associates ","500 Medical Center Boulevard","Suite 330",Lawrenceville,GA,30046,770-277-3361
"Assisted Fertility Program - Orange Park, FL","1681 Eagle Harbor Parkway",,"Orange Park",FL,32003,904-278-6837
"Assisted Fertility Program - Salem, VA","1930 Braeburn Circle ",,Salem,VA,24153,540-772-3220
"The Reproductive Medicine Group - South Tampa","2919 Swann Avenue","Suite 305",Tampa,FL,33609,877-266-2450
"The Reproductive Medicine Group - Clearwater","3165 McMullen Booth Road","Bldg. F, Suite 2",Clearwater,FL,33761,"727-724-0702, 877-266-245"
"The Reproductive Medicine Group - Brandon","612 Medical Care Drive",,Brandon,FL,33511,"813-661-9114, 877-266-245"
"Sher Institutes for Reproductive Medicine -  San Diego","8899 University Center Lane","Suite 100","San Diego",CA,92122,858-455-6100
"Fertility Centers of New England, LLC - Dedham","333 Elm Street","Suite 305",Dedham,MA,2026,1-877-FCNE-IVF
"Fertility Centers of New England, LLC - Bedford","169 South River Road","Suite 11",Bedford,NH,3110,1-877-FCNE-IVF
"Fertility Centers of New England, LLC - Portsmouth","875 Greenland Road, Building C, ",,Portsmouth,NH,3801,1-877-FCNE-IVF
"Fertility Centers of New England, LLC - Westborough","33 Lyman Street","Suite 302",Westborough,MA,1581,1-877-FCNE-IVF
"Fertility Centers of New England, LLC - Danvers","480 Maple Street",,Danvers,MA,1923,1-877-FCNE-IVF
"Fertility Centers of Illinois - Buffalo Grove","135 N. Arlington Heights Rd","Suite 195","Buffalo Grove",IL,60089,877-324-4483
"Fertility Centers of Illinois - Crystal Lake","5911 Northwest Highway, Ste 105",,"Crystal Lake",IL,60014,"8153567034 "
"Fertility Centers of Illinois - Glenview","3703 W. Lake Avenue","Suite 106",Glenview,IL,60026,877-324-4483
"Fertility Centers of Illinois - Hoffman Estates","2260 W. Higgins Rd Ste 200",,"Hoffman Estates",IL,60169,847.843.1510
"Fertility Centers of Illinois - Lindenhurst","Emerald Square","2592 W. Grand Ave Ste 208",Lindenhurst,IL,60046,877-324-4483
"Fertility Centers of Illinois - Warrenville","28373 Davis Pkwy Ste 502",,Warrenville,IL,60555,630/305-7576
"Fertility Centers of Illinois - Oakbrook Terrace","1S224 Summit Ave Ste 302",,"Oakbrook Terrace",IL,60181,"6308897900 "
"Fertility Centers of Illinois - Tinley Park","18210 South La Grange Road","Suite 111","Tinley Park",IL,60487,708/633-1999
"Michigan Infertility Center","189 Townsend Street",#200,Birmingham,MI,48009,
"UI Center for Advanced Reproductive Care - Quad Cities ","3385 Dexter Court","Suite 110, Building 3",Davenport,IA,52807,563-355-2244
"Reproductive Medicine Associates of New York- Westchester","15 North Broadway","Garden Level, Suite G","White Plains",NY,10601,914-997-6200
"Reproductive Medicine Associates of New York- Garden City, Long Island","400 Garden City Plaza","Suite 107","Garden City",NY,11530,516-746-3633
"Southwest Fertility Center for Men","610 Broadway Blvd NE",,Albuquerque,NM,87102,505-400-0876
"Houston Fertility Institute","610 Lawrence Street",,Tomball,TX,77375,281-357-1881
"Houston Fertility Institute","2500 Fondren","Suite 350",Houston,TX,77063,713-490-2527
"Houston Fertility Institute","16545 Southwest Freeway","Suite 275","Sugar Land",TX,77479,281-242-3434
"Houston Fertility Institute","23920 Katy Freeway","Suite 340",Katy,TX,77494,281-693-2434
"Houston Fertility Institute","6400 Fannin","Suite 2000",Houston,TX,77030,"713-796-1434 "
"Piedmont Reproductive Endocrinology Group ","1330 Boiling Springs Road","Suite 2200",Spartanburg,SC,29303,864-583-2669
"Piedmont Reproductive Endocrinology Group ","123 Hendersonville Rd","Building 3 Lower Level",Asheville,NC,28803,828-210-8284
"Scott Department of Urology - Baylor College of Medicine","Scurlock Tower","6560 Fannin Street, Suite 2100",Houston,TX,77030,713-798-6163
"Center for Male Reproductive Medicine and Microsurgery","The New York Hospital - Cornell ","525 E. 68th Street","New York",NY,10065,
"Houston Fertility Institute","9200 Pinecroft","Suite 480","The Woodlands",TX,77380,281-681-0480
"MCG Reproductive Medicine & Infertility Associates","618 Ponder Place","Suite 2",Evans,GA,30809,
"Houston Fertility Specialists","4724 Sweetwater Boulevard","Suite 105 ","Sugar Land",TX,77479,713-512-7900
"Houston Fertility Specialists","251 Medical Center Boulevard",,Webster,TX,77598,"713-578-3880 "
"Houston Fertility Specialists","23920 Katy Freeway","Medical Plaza One",Katy,TX,77494,713-512-7900
"East Bay Fertility Center","4000 Dublin Boulevard","Suite 330",Dublin,CA,94568,
"Palo Alto Medical Foundation Fertility Physicians of Northern California ","2581 Samaritan Drive",,"San Jose",CA,95124,800.597.2234
"Colorado Center for Reproductive Medicine","4600 Hale Parkway","Suite 490",Denver,CO,80220,303-355-2555
"Reproductive Partners Medical Group- Los Angeles Beverly Hills","6330 San Vicente Blvd","Suite 408","Los Angeles",CA,90048,310-888-2229
"Reproductive Partners Medical Group- San Luis Obispo","35 Casa Street",#260,"San Luis Obispo",CA,93405,805-543-2228
"Reproductive Medicine & Fertility Center","265 Parkside Drive","Suite 200","Colorado Springs",CO,80910,719-475-2229
"Reproductive Medicine & Fertility Center","2701 Frontier NE Surge #240",,Albuquerque,NM,87106,505-272-3915
"Gago Center for Fertility","2305 Genoa Business Park Drive","Suite 180",Brighton,MI,48114,
"IVF New Jersey","495 Iron Bridge Road","Suite 10 (2nd Floor)",Freehold,NJ,7728,732-577-6500
"IVF New Jersey","3379 Quakerbridge Road","Suite 105","Hamilton Township",NJ,8619,609-799-5666
"IVF New Jersey","112 W. 34th Street",,"New York",NY,10120,800-483-6544
"IVF New Jersey","636 Morris Turnpike","Suite 2D","Short Hills ",NJ,7078,973-258-4081
"Center for Applied Reproductive Science- Asheville ","445 Biltmore Avenue, Suite 501 ",,Asheville,NC,28801,
"South Jersey Fertility Center","570 Egg Harbor Road","Suite B4",Sewell,NJ,8080,856-218-8863
"South Jersey Fertility Center","2500 English Creek Road, #225",,"Egg Harbor Twp.",NJ,8234,609-813-2192
"Thie M.D.","4430 Carver Woods Drive","Suite 125",Cincinnati,OH,45242,
"Conceptions Reproductive Associates of Colorado","300 Exempla Circle",#370,Lafayette,CO,80026,303-449-1084
"Conceptions Reproductive Associates of Colorado","271 West County Line Road",,Littleton,CO,80129,"303-794-0045 "
"University of Arkansas for Medical Sciences","5800 West 10th Street","Suite 7-400","Little Rock",AR,72204,
"Bluegrass Fertility Center","2801 Palumbo Drive","Suite 101",Lexington,KY,40509,
"East Coast Fertility - Manhasset","2110 Northern Boulevard","Suite 202",Manhasset,NY,11030,
"East Coast Fertility - Mt. Sinai","701A Route 25A","Suite A3","Mount Sinai",NY,11766,
"East Coast Fertility - West Islip","500 Montauk Highway","Suite A","West Islip",NY,11795,
"East Coast Fertility - Patchogue","100 Hospital Road","Suite 202","East Patchogue",NY,11772,
"East Coast Fertility - Brooklyn","1725 East 12th Street","Suite 401",Brooklyn,NY,11229,
"East Coast Fertility - Forest Hills","108-48 70th Road","Suite 2F","Forest Hills",NY,11375,
"East Coast Fertility - Stony Brook","2233 Nesconset Highway","Suite 107","Lake Grove",NY,11755,
"East Coast Fertility - Hewlett","1175 West Broadway","Suite 24",Hewlett,NY,11557,
"Institute for Human Reproduction (IHR)","409 W. Huron St. Suite 500",,Chicago,IL,60654,"312-288-6420 "
"Red Rock Fertility Center","6420 Medical Center Street","Suite 100","Las Vegas",NV,89148,702-948-7778
"Genetics & IVF Institute","11300 Rockville Pike","Suite 612","North Bethesda",MD,20852,"800-552-4363, 3013578866 "
"Fertility Center of the Carolinas - Greenville","890 W. Faris Road, Suite 470",,Greenville,SC,29605,
"Fertility Center of the Carolinas - Spartanburg","One Doctor's Park Drive",,Spartanburg,SC,29307,
"Fertility Center of the Carolinas - Anderson","2000 East Greenville street","Suite 4500",Anderson,SC,29621,
"Center for Reproductive Health & Gynecology - Valencia","23861 McBean Parkway","Suite D-14",Valencia,CA,91355,
"Center for Reproductive Health & Gynecology - Burbank","2625 W. Alameda Avenue","Suite 311",Burbank,CA,91505,
"Center of Reproductive Medicine (CORM)","3560 Delaware Street","Suite 402",Beaumont,TX,77706,1-888-990-2727
"Center of Reproductive Medicine (CORM)","3701 Kirby Drive","Suite 840",Houston,TX,77098,281-332-0073
"IVF New England at Blue Hills Medical Center","340 Wood Road, Suite 304,",,Braintree,MA,2184,
"IVF New England at Milford Regional Medical Center","14 Prospect Street",,Milford,MA,1757,
"IVF New England- Gloucester","298 Washington Street, 4th Floor","4th Floor",Gloucester,MA,1930,
"IVF New England-Westborough","4 Bellows Road","Suite B",Westborough,MA,1581,
"IVF New England-Bedford","18 Constitution Drive, Suite 2",,Bedford,NH,3110,
"IVF New England -Providence","148 West River Street, Suite 5A",,Providence,RI,2904,
"Center for Reproductive Health","770 University Court, Suite 3000",,"West Chester",OH,45069,513-475-7977
"IVF Florida Reproductive Associates","600 Heritage Drive, Suite 200",,Jupiter,FL,33458,
"IVF Florida Reproductive Associates","400 N. Hiatus Road, Suite 205",,"Pembroke Pines",FL,33026,
"IVFMD/South Florida Institute for Reproductive Medicine","1 SW 129th Avenue","Suite 205A","Pembroke Pines",FL,33027,866-483-6366
"IVFMD/South Florida Institute for Reproductive Medicine","1280 Creekside Street","Suite 105",Naples,FL,34108,866-483-6366
"IVFMD/South Florida Institute for Reproductive Medicine","345 Jupiter Lakes Blvd.","Suite 102",Jupiter,FL,33458,"561-972-6900 "
"Greenwich Fertility & IVF Center","55 Holly Hill Lane Suite 270",,Greenwich,CT,6830,"(203) 863-2990"
"Southern California Reproductive Center","2320 Bath Street","Suite 207","Santa Barbara",CA,93105,805-569-1950
"Southern California Reproductive Center","4080 Loma Vista Road","Suite P",Ventura,CA,93003,805-658-9112
"Southern California Reproductive Center","27871 Smyth Drive","Suite 102",Valencia,CA,91355,661-253-3633
"Southern California Reproductive Center","2001 Santa Monica Blvd.","Suite 770W","Santa Monica",CA,90404,310-829-4781
"Southern California Reproductive Center","44105 N 15th St. West","Suite 304",Lancaster,CA,93534,800-600-9112
"North Shore Fertility","999 Plaza Drive, Suite 630",,Schaumburg,IL,60076,
"Advanced Fertility Center of Chicago — Crystal Lake","820 East Terra Cotta Ave. ","Suite 118","Crystal Lake",IL,60014,"(815) 356-1818"
"The IVF Institute","3825 Highland Avenue - Suite 2M",,"Downers Grove",IL,60515,
"The IVF Institute","25 Winfield Road ",,Winfield,IL,60190,
"IVF New England at Lowell General Hospital","10 Research Place ","Suite 205","North Chelmsford",MA,1863,
"Family Fertility Center","6651 Main Street",,Houston,TX,77030,713-798-4951
"HRC Fertility ","3231 Waring Court","Suite M",Oceanside,CA,92056,"866-472-4483, 760-758-203"
"HRC Fertility ","15503 Ventura Blvd","Suite 200",Encino,CA,91436,"866-472-4483, 818-788-728"
"HRC Fertility ","1950 Sunnycrest Dr.","Suite 2400",Fullerton,CA,92835,"866-472-4483 Toll Free, 7"
"HRC Fertility ","333 South Arroyo Parkway","3rd Floor",Pasadena,CA,91105,"866-472-4483, 626-440-916"
"HRC Fertility","1220 La Venta Drive","Suite 103","Westlake Village",CA,91361,"866-472-4483 Toll Free, 8"
"HRC Fertility","11500 Olympic Blvd","Suite 504","West Los Angeles",CA,90064,"866-472-4483, 310-481-088"
"IVF New England at the Center for Women’s Health","330 Mt. Auburn Street",,Cambridge,MA,2138,
"Fertility Centers of New England, LLC - The Boston Center","575 Boylston Street","Elevator one (left side), FL 4W",Boston,MA,2116,
"Fertility Centers of New England, LLC - The Concord Center","248 Pleasant Street, Suite 103","Pillsbury Building",Concord,NH,3301,
"Fertility Centers of New England, LLC - Reading","20 Pond Meadow Drive","Suite 101",Reading,MA,1867,
"Reproductive Gynecology Inc. - Westerville","540 N. Cleveland Ave.","Suite 100",Westerville,OH,43082,"614-895-3333, 866-537-246"
"Wake Forest University Center for Reproductive Medicine","802 Green Valley Road, Suite 106",,Greensboro,NC,27408,
"Cardone and Associates, Reproductive Medicine and Infertility , LLC","2 Main Street",,Stoneham,MA,2180,
